seq1	seq4869;
seq2	seq4238;
seq3	seq2582;
seq4	seq1873;
seq5	seq956;
seq6	seq4757;
seq7	seq342;seq1274;seq4549;
seq8	seq2014;
seq9	seq4567;
seq10	seq4101;
seq11	seq3210;
seq12	seq2918;
seq13	seq2302;
seq14	seq764;
seq15	seq641;
seq16	seq4764;
seq17	seq98;seq2903;seq2934;seq3779;
seq18	seq916;seq2643;
seq19	seq2457;
seq20	seq1587;
seq21	seq1407;
seq22	seq1317;
seq23	seq1255;
seq24	seq4860;
seq25	seq4667;
seq26	seq4516;
seq27	seq4456;
seq28	seq3893;
seq29	seq3559;
seq30	seq4307;
seq31	seq3857;
seq32	seq3683;
seq33	seq3431;
seq34	seq2758;
seq35	seq1394;seq2722;
seq36	seq1399;
seq37	seq189;
seq38	seq4396;
seq39	seq3311;
seq40	seq3285;
seq41	seq1605;
seq42	seq744;
seq43	seq180;
seq44	seq73;
seq45	seq4640;
seq46	seq4413;
seq47	seq4050;
seq48	seq1909;
seq49	seq1219;
seq50	seq1197;
seq51	seq1158;
seq52	seq952;
seq53	seq914;
seq54	seq3213;seq4647;
seq55	seq4606;
seq56	seq2361;seq4126;
seq57	seq4005;
seq58	seq2774;
seq59	seq2158;
seq60	seq1414;
seq61	seq3993;
seq62	seq3682;
seq63	seq3647;
seq64	seq2274;
seq65	seq1921;
seq66	seq3143;
seq67	seq2328;
seq68	seq1841;
seq69	seq768;
seq70	seq557;
seq71	seq4208;
seq72	seq3897;
seq73	seq3738;
seq74	seq2794;
seq75	seq2359;
seq76	seq904;
seq77	seq4741;
seq78	seq4435;
seq79	seq3318;
seq80	seq3298;
seq81	seq2776;seq3224;
seq82	seq3145;
seq83	seq1411;
seq84	seq485;
seq85	seq3498;
seq86	seq3455;
seq87	seq1203;
seq88	seq437;
seq89	seq2;seq69;seq80;seq114;seq198;seq210;seq218;seq225;seq246;seq291;seq325;seq335;seq341;seq353;seq356;seq361;seq394;seq403;seq414;seq431;seq460;seq484;seq492;seq516;seq519;seq544;seq575;seq582;seq597;seq620;seq643;seq657;seq685;seq719;seq721;seq735;seq739;seq779;seq812;seq864;seq884;seq921;seq948;seq1017;seq1027;seq1087;seq1101;seq1241;seq1244;seq1293;seq1333;seq1340;seq1382;seq1475;seq1511;seq1516;seq1640;seq1641;seq1678;seq1720;seq1738;seq1753;seq1772;seq1788;seq1819;seq1848;seq1856;seq1887;seq1947;seq1970;seq1976;seq2075;seq2154;seq2215;seq2217;seq2249;seq2273;seq2335;seq2405;seq2541;seq2571;seq2615;seq2635;seq2641;seq2642;seq2692;seq2739;seq2748;seq2806;seq2810;seq2811;seq2871;seq2886;seq2907;seq3036;seq3077;seq3081;seq3099;seq3105;seq3116;seq3127;seq3156;seq3166;seq3173;seq3180;seq3197;seq3387;seq3392;seq3394;seq3402;seq3413;seq3414;seq3453;seq3480;seq3516;seq3520;seq3521;seq3532;seq3586;seq3596;seq3677;seq3685;seq3702;seq3754;seq3766;seq3843;seq3925;seq3984;seq4024;seq4034;seq4040;seq4070;seq4131;seq4200;seq4256;seq4271;seq4310;seq4317;seq4343;seq4377;seq4402;seq4439;seq4469;seq4480;seq4517;seq4534;seq4559;seq4575;seq4579;seq4630;seq4654;seq4655;seq4696;seq4709;seq4724;seq4727;seq4784;seq4848;seq4855;seq4865;seq4866;seq4903;seq4907;seq4925;seq4982;seq4988;
seq90	seq3491;
seq91	seq2805;
seq92	seq2291;
seq93	seq2234;
seq94	seq833;
seq95	seq4977;
seq96	seq3651;
seq97	seq3629;
seq98	seq3192;
seq99	seq2835;
seq100	seq834;
seq101	seq4875;
seq102	seq388;seq3307;seq3643;
seq103	seq3617;
seq104	seq2820;
seq105	seq1981;
seq106	seq129;
seq107	seq3278;
seq108	seq2548;
seq109	seq2354;
seq110	seq51;
seq111	seq4827;
seq112	seq3228;
seq113	seq2121;
seq114	seq3781;
seq115	seq3526;
seq116	seq3064;
seq117	seq2380;
seq118	seq1238;
seq119	seq944;
seq120	seq3772;
seq121	seq3178;
seq122	seq3065;
seq123	seq2836;
seq124	seq177;seq420;seq583;seq1447;seq1541;seq1574;seq1661;seq1824;seq1828;seq1845;seq2109;seq2415;seq2477;seq2876;seq2929;seq3002;seq3034;seq3049;seq3755;seq3786;seq3947;seq4008;seq4084;seq4321;seq4383;seq4391;seq4663;seq4723;seq4759;
seq125	seq4536;
seq126	seq4151;
seq127	seq3985;
seq128	seq2925;
seq129	seq2294;
seq130	seq2168;
seq131	seq2046;
seq132	seq1847;
seq133	seq1057;
seq134	seq542;
seq135	seq457;
seq136	seq2175;
seq137	seq610;seq4232;
seq138	seq142;seq3344;
seq139	seq2690;
seq140	seq1496;
seq141	seq558;
seq142	seq543;
seq143	seq1146;
seq144	seq511;
seq145	seq4159;
seq146	seq1284;seq3911;
seq147	seq3715;
seq148	seq3290;
seq149	seq3043;
seq150	seq2781;
seq151	seq1896;
seq152	seq760;seq1450;
seq153	seq679;
seq154	seq68;
seq155	seq4939;
seq156	seq4356;
seq157	seq4301;
seq158	seq3115;
seq159	seq2712;
seq160	seq4582;
seq161	seq4016;seq4479;
seq162	seq4339;
seq163	seq3906;
seq164	seq2703;
seq165	seq4704;
seq166	seq3867;
seq167	seq1408;
seq168	seq4467;
