seq2	seq978;seq1251;seq1307;seq2098;seq2733
seq7	seq817;seq1278;seq1928;seq2902
seq8	seq1909
seq11	seq3151;seq3167
seq15	seq3059
seq17	seq81;seq89;seq123;seq148;seq255;seq274;seq403;seq413;seq536;seq608;seq630;seq699;seq736;seq749;seq760;seq763;seq780;seq806;seq814;seq877;seq962;seq1037;seq1195;seq1212;seq1284;seq1364;seq1690;seq1691;seq1754;seq1819;seq1839;seq1850;seq2040;seq2063;seq2072;seq2178;seq2244;seq2306;seq2352;seq2399;seq2461;seq2491;seq2497;seq2591;seq2777;seq2778;seq2895;seq3091;seq3241
seq20	seq1436
seq25	seq2654
seq30	seq241;seq2019
seq32	seq2713
seq35	seq384;seq535;seq2397
seq47	seq54;seq100;seq124;seq142;seq156;seq213;seq215;seq244;seq438;seq462;seq569;seq722;seq725;seq802;seq886;seq922;seq1326;seq1464;seq1747;seq1793;seq1826;seq1949;seq1951;seq2044;seq2241;seq2467;seq2484;seq2503;seq2617;seq2652;seq2683;seq2686;seq2823;seq2920;seq2968;seq3007;seq3100;seq3180;seq3206
seq56	seq1018;seq1255;seq1259;seq1355;seq1457;seq1896;seq1918;seq1966;seq2764;seq3067;seq3113
seq68	seq531;seq1305;seq2765
seq76	seq1285
seq101	seq2763
seq102	seq439;seq1449;seq1657;seq1795;seq1943
seq107	seq451;seq1455
seq109	seq1287;seq1883;seq2162
seq111	seq3266
seq128	seq504;seq550;seq920;seq1120;seq1279;seq1835;seq1910;seq2100;seq2123;seq2310;seq2921;seq3039;seq3086
seq138	seq2745
seq141	seq270
seq145	seq1807;seq2430
seq146	seq689;seq1450
seq150	seq1175;seq2943
seq152	seq598;seq933;seq1770
seq161	seq479
seq173	seq429;seq879;seq1106
seq176	seq1115;seq2362
seq182	seq612;seq3172
seq184	seq1257;seq1571;seq2651
seq185	seq197;seq364;seq588;seq1235;seq1458;seq2097;seq2317;seq2783;seq3134;seq3189;seq3190;seq3258
seq196	seq1189
seq202	seq2923
seq207	seq1507
seq209	seq1447
seq214	seq2224
seq225	seq1012
seq228	seq594
seq249	seq2272
seq262	seq1014;seq1944
seq297	seq1728;seq3153
seq300	seq404;seq937
seq302	seq1783
seq312	seq902
seq328	seq767
seq330	seq2451
seq332	seq753;seq773;seq1483;seq1892;seq2025;seq2635;seq3194
seq334	seq805;seq925;seq2879
seq336	seq1471;seq1677;seq3184;seq3239
seq339	seq838
seq342	seq495
seq346	seq349;seq1406;seq1764
seq351	seq1613
seq355	seq610;seq1337
seq356	seq2480
seq365	seq1684
seq371	seq2863
seq372	seq1726;seq2574
seq374	seq1069;seq1271;seq1367;seq1480;seq1526;seq1867;seq2213
seq376	seq1200;seq1604
seq378	seq1547;seq2716
seq383	seq742;seq960;seq1937;seq2092
seq387	seq573;seq1857;seq2373;seq2721;seq3247
seq388	seq852
seq396	seq976;seq2233;seq2547
seq399	seq2932
seq400	seq532;seq1579
seq408	seq2145
seq409	seq584;seq638;seq1036
seq418	seq1068
seq421	seq1516;seq2753;seq2899
seq424	seq578;seq1224;seq1848;seq2403
seq430	seq1031;seq2906
seq437	seq3243
seq449	seq2276
seq466	seq2976
seq482	seq1077
seq484	seq702;seq934;seq1086;seq1298;seq1486;seq1540;seq1591;seq1939;seq2006;seq2167;seq2345;seq2377;seq2468
seq485	seq1150
seq502	seq1714;seq1849;seq2080;seq2382;seq2609;seq2974;seq3183
seq505	seq1869
seq507	seq1592;seq2319
seq509	seq521
seq510	seq2513
seq514	seq1529
seq515	seq904
seq517	seq1434;seq2751;seq2831
seq518	seq3056;seq3175
seq544	seq680;seq2983
seq547	seq2153;seq2409;seq2637;seq3186
seq548	seq1034;seq1169;seq1433;seq3035;seq3177
